index,start_tc,end_tc,start_sec,end_sec,duration_sec,source,file,note
1,00:00:00:00,00:00:06:00,0,6,6,graphic,brief-history-computer/ep2/text,Title slide: 'ปฏิวัติพีซี และโลกอินเทอร์เน็ต'
2,00:00:06:00,00:00:11:00,6,11,5,graphic,brief-history-computer/ep2/19_young_scientist_retro.jpg,A developer coding at a vintage green-character CRT terminal.
3,00:00:11:00,00:00:17:00,11,17,6,graphic,brief-history-computer/ep2/20_abandoned_lab_winter.jpg,"A room of server terminals showing old, complex computing machines."
4,00:00:17:00,00:00:22:00,17,22,5,graphic,brief-history-computer/ep2/21_motorized_potentiometer_gears.jpg,Close-up of mechanical gear assembly representing early PC motherboard components.
5,00:00:22:00,00:00:27:00,22,27,5,graphic,brief-history-computer/ep2/text,Text slide: '1977: Apple II คอมพิวเตอร์ประกอบเสร็จ'
6,00:00:27:00,00:00:33:00,27,33,6,graphic,brief-history-computer/ep2/23_mark_perceptron_computer.jpg,IBM mainframes or computing cabinets used in corporate offices.
7,00:00:33:00,00:00:38:00,33,38,5,graphic,brief-history-computer/ep2/24_young_scientist_retro.jpg,A researcher programming text commands on MS-DOS console interface.
8,00:00:38:00,00:00:43:00,38,43,5,graphic,brief-history-computer/ep2/text,Text slide: '1981: IBM PC และ ระบบปฏิบัติการ DOS'
9,00:00:43:00,00:00:49:00,43,49,6,graphic,brief-history-computer/ep2/26_frank_rosenblatt_lab.jpg,Scientists demonstrating new computer designs to the team.
10,00:00:49:00,00:00:54:00,49,54,5,graphic,brief-history-computer/ep2/27_logic_neuron_graphic.jpg,A clean graphic showing design elements and buttons on a digital interface.
11,00:00:54:00,00:00:59:00,54,59,5,graphic,brief-history-computer/ep2/text,Text slide: '1984: Macintosh ปฏิวัติกราฟิก UI และเมาส์'
12,00:00:59:00,00:01:05:00,59,65,6,graphic,brief-history-computer/ep2/29_matrix_waterfall_math.jpg,A glowing waterfall of data numbers representing global communication network.
13,00:01:05:00,00:01:10:00,65,70,5,graphic,brief-history-computer/ep2/30_modern_data_center.jpg,A glowing server room representing web server clusters hosting early websites.
14,00:01:10:00,00:01:15:00,70,75,5,graphic,brief-history-computer/ep2/text,Text slide: '1991: กำเนิด World Wide Web'
15,00:01:15:00,00:01:23:09,75,83.3,8.3,graphic,brief-history-computer/ep2/text,Final punchline slide: 'ประตูบานยักษ์ที่เชื่อมโยงความรู้ของมนุษยชาติ'
