index,start_tc,end_tc,start_sec,end_sec,duration_sec,source,file,note
1,00:00:00:00,00:00:06:00,0,6,6,graphic,brief-history-calculus/ep2/text,Title slide
2,00:00:06:00,00:00:12:00,6,12,6,graphic,brief-history-calculus/ep2/leibniz_portrait.jpg,Gottfried Wilhelm Leibniz portrait
3,00:00:12:00,00:00:18:00,12,18,6,graphic,brief-history-calculus/ep2/notation_war.jpg,Lion and eagle clashing over calculus
4,00:00:18:00,00:00:24:00,18,24,6,graphic,brief-history-calculus/ep2/leibniz_portrait.jpg,Leibniz writing with quill
5,00:00:24:00,00:00:30:00,24,30,6,graphic,brief-history-calculus/ep2/text,Text slide on Leibniz's notation
6,00:00:30:00,00:00:36:00,30,36,6,graphic,brief-history-calculus/ep2/leibniz_portrait.jpg,Neon integral formulas on library backdrop
7,00:00:36:00,00:00:42:00,36,42,6,graphic,brief-history-calculus/ep2/notation_war.jpg,British Royal Society crest vs Continental scrolls
8,00:00:42:00,00:00:48:00,42,48,6,graphic,brief-history-calculus/ep2/text,Text slide on the controversy
9,00:00:48:00,00:00:54:00,48,54,6,graphic,brief-history-calculus/ep2/notation_war.jpg,Sparks flying from math symbols clashing
10,00:00:54:00,00:01:00:00,54,60,6,graphic,brief-history-calculus/ep2/leibniz_portrait.jpg,Leibniz portrait
11,00:01:00:00,00:01:06:00,60,66,6,graphic,brief-history-calculus/ep2/text,Text slide on notation victory
12,00:01:06:00,00:01:12:00,66,72,6,graphic,brief-history-calculus/ep2/leibniz_portrait.jpg,Leibniz at desk
13,00:01:12:00,00:01:18:00,72,78,6,graphic,brief-history-calculus/ep2/notation_war.jpg,Lion and eagle battle
14,00:01:18:00,00:01:23:00,78,83,5,graphic,brief-history-calculus/ep2/text,Transition text slide to EP3
15,00:01:23:00,00:01:27:02,83,87.07,4.07,graphic,brief-history-calculus/ep2/infinitesimal_ghosts.jpg,Misty library backdrop with floating symbols
